P:(1/3,1/3,w)|P₁(1)|P₁(1)|P₃(1)|P₃(1)|P₂(1)|P₂(1)|P₁(1)|P₁(1)|P₃(1)|P₃(1)|P₂(1)|P₂(1)|P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₅ˢ(1)|P₅ˢ(1)|P₆ˢ(1)|P₆ˢ(1)|P₄ˢ(1)|P₄ˢ(1)|P₅ˢ(1)|P₅ˢ(1)|P₆ˢ(1)|P₆ˢ(1)|P₄ˢ(1)|P₄ˢ(1)|P₄ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)
B:(u,v,0)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|B₂ˢ(1)|2B₂ˢ(1)|2B₂ˢ(1)|2B₂ˢ(1)|3B₂ˢ(1)|3B₂ˢ(1)|3B₂ˢ(1)|3B₂ˢ(1)
C:(u,u,w)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|3C₂ˢ(1)|3C₂ˢ(1)|3C₂ˢ(1)|3C₂ˢ(1)
D:(u,0,w)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|3D₁(1)|3D₁(1)|3D₁(1)|3D₁(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|D₂ˢ(1)|2D₂ˢ(1)|2D₂ˢ(1)|2D₂ˢ(1)|3D₂ˢ(1)|3D₂ˢ(1)|3D₂ˢ(1)|3D₂ˢ(1)
E:(u,v,1/2)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|E₂ˢ(1)|2E₂ˢ(1)|2E₂ˢ(1)|2E₂ˢ(1)|3E₂ˢ(1)|3E₂ˢ(1)|3E₂ˢ(1)|3E₂ˢ(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|3Ω₂ˢ(1)|3Ω₂ˢ(1)|3Ω₂ˢ(1)|3Ω₂ˢ(1)
Λ:(u,u,0)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|Λ₁(1)|2Λ₁(1)|2Λ₁(1)|2Λ₁(1)|3Λ₁(1)|3Λ₁(1)|3Λ₁(1)|3Λ₁(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|Λ₂ˢ(1)|2Λ₂ˢ(1)|2Λ₂ˢ(1)|2Λ₂ˢ(1)|3Λ₂ˢ(1)|3Λ₂ˢ(1)|3Λ₂ˢ(1)|3Λ₂ˢ(1)
Q:(u,u,1/2)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|3Q₁(1)|3Q₁(1)|3Q₁(1)|3Q₁(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|Q₂ˢ(1)|2Q₂ˢ(1)|2Q₂ˢ(1)|2Q₂ˢ(1)|3Q₂ˢ(1)|3Q₂ˢ(1)|3Q₂ˢ(1)|3Q₂ˢ(1)
R:(u,0,1/2)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|R₁(1)|2R₁(1)|2R₁(1)|2R₁(1)|3R₁(1)|3R₁(1)|3R₁(1)|3R₁(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|R₂ˢ(1)|2R₂ˢ(1)|2R₂ˢ(1)|2R₂ˢ(1)|3R₂ˢ(1)|3R₂ˢ(1)|3R₂ˢ(1)|3R₂ˢ(1)
Σ:(u,0,0)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|2Σ₁(1)|2Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|2Σ₂ˢ(1)|2Σ₂ˢ(1)|2Σ₂ˢ(1)|3Σ₂ˢ(1)|3Σ₂ˢ(1)|3Σ₂ˢ(1)|3Σ₂ˢ(1)
U:(1/2,0,w)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|U₁(1)|2U₁(1)|2U₁(1)|2U₁(1)|3U₁(1)|3U₁(1)|3U₁(1)|3U₁(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|U₂ˢ(1)|2U₂ˢ(1)|2U₂ˢ(1)|2U₂ˢ(1)|3U₂ˢ(1)|3U₂ˢ(1)|3U₂ˢ(1)|3U₂ˢ(1)
