B:(0,v,1/2)|B₁(1)|B₂(1)|B₄(1)|B₃(1)|B₂(1)|B₁(1)|B₃(1)|B₄(1)|B₁(1)|B₂(1)|B₄(1)|B₃(1)|B₂(1)|B₁(1)|B₃(1)|B₄(1)|B₃(1)|B₄(1)|B₂(1)|B₁(1)|B₄(1)|B₃(1)|B₁(1)|B₂(1)|B₃(1)|B₄(1)|B₂(1)|B₁(1)|B₄(1)|B₃(1)|B₁(1)|B₂(1)|B₁(1)⊕B₄(1)|B₂(1)⊕B₃(1)|B₂(1)⊕B₃(1)|B₁(1)⊕B₄(1)|B₂(1)⊕B₃(1)|B₁(1)⊕B₄(1)|B₁(1)⊕B₄(1)|B₂(1)⊕B₃(1)|Bˢ₅(2)|Bˢ₅(2)|Bˢ₅(2)|Bˢ₅(2)|Bˢ₅(2)|Bˢ₅(2)|Bˢ₅(2)|Bˢ₅(2)|2Bˢ₅(2)|2Bˢ₅(2)|2Bˢ₅(2)|2Bˢ₅(2)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)|Δ₂(1)|Δ₄(1)|Δ₃(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)
H:(1,0,w)|H₁(1)|H₂(1)|H₂(1)|H₁(1)|H₄(1)|H₃(1)|H₃(1)|H₄(1)|H₁(1)|H₂(1)|H₂(1)|H₁(1)|H₄(1)|H₃(1)|H₃(1)|H₄(1)|H₁(1)|H₂(1)|H₂(1)|H₁(1)|H₄(1)|H₃(1)|H₃(1)|H₄(1)|H₁(1)|H₂(1)|H₂(1)|H₁(1)|H₄(1)|H₃(1)|H₃(1)|H₄(1)|H₃(1)⊕H₄(1)|H₃(1)⊕H₄(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₃(1)⊕H₄(1)|H₃(1)⊕H₄(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|Hˢ₅(2)|Hˢ₅(2)|Hˢ₅(2)|Hˢ₅(2)|Hˢ₅(2)|Hˢ₅(2)|Hˢ₅(2)|Hˢ₅(2)|2Hˢ₅(2)|2Hˢ₅(2)|2Hˢ₅(2)|2Hˢ₅(2)
Λ:(0,0,w)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₄(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)
Σ:(u,0,0)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₃(1)|Σ₄(1)|Σ₂(1)|Σ₁(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₃(1)|Σ₄(1)|Σ₂(1)|Σ₁(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₃(1)|Σ₄(1)|Σ₂(1)|Σ₁(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₃(1)|Σ₄(1)|Σ₂(1)|Σ₁(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₄(1)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)
D:(1/2,1/2,w)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₁(1)|D₂(1)|D₂(1)|D₂(1)|D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)
K:(0,v,w)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₂(1)|K₁(1)|K₁(1)|K₂(1)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₂(1)|K₁(1)|K₁(1)|K₂(1)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₂(1)|K₁(1)|K₁(1)|K₂(1)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₂(1)|K₁(1)|K₁(1)|K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)|2Kˢ₃Kˢ₄(2)
M:(u,0,w)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)|M₂(1)|M₂(1)|M₁(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)|2Mˢ₃Mˢ₄(2)
P:(u,v,0)|P₁(1)|P₂(1)|P₁(1)|P₂(1)|P₂(1)|P₁(1)|P₂(1)|P₁(1)|P₁(1)|P₂(1)|P₁(1)|P₂(1)|P₂(1)|P₁(1)|P₂(1)|P₁(1)|P₁(1)|P₂(1)|P₁(1)|P₂(1)|P₂(1)|P₁(1)|P₂(1)|P₁(1)|P₁(1)|P₂(1)|P₁(1)|P₂(1)|P₂(1)|P₁(1)|P₂(1)|P₁(1)|2P₁(1)|2P₂(1)|2P₂(1)|2P₁(1)|2P₁(1)|2P₂(1)|2P₂(1)|2P₁(1)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)
Q:(u,v,1/2)|Q₁(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₁(1)|Q₂(1)|Q₁(1)|Q₂(1)|2Q₁(1)|2Q₂(1)|2Q₂(1)|2Q₁(1)|2Q₂(1)|2Q₁(1)|2Q₁(1)|2Q₂(1)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)|2Qˢ₃Qˢ₄(2)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)
